date,item_name,category,prep_qty,orders_qty,day_of_week,is_weekend,is_holiday,weather,staff_count,event_flag
2024-01-01,Paneer Butter Masala,Main Course,54,47,Monday,0,0,Sunny,12,0
2024-01-01,Dal Makhani,Main Course,54,37,Monday,0,0,Sunny,12,0
2024-01-01,Chicken Biryani,Main Course,52,41,Monday,0,0,Sunny,12,0
2024-01-01,Mutton Rogan Josh,Main Course,48,24,Monday,0,0,Sunny,12,0
2024-01-01,Paneer Tikka,Starters,58,54,Monday,0,0,Sunny,12,0
2024-01-01,Chicken Tandoori,Starters,60,45,Monday,0,0,Sunny,12,0
2024-01-01,Veg Spring Rolls,Starters,71,60,Monday,0,0,Sunny,12,0
2024-01-01,Fish Amritsari,Starters,70,18,Monday,0,0,Sunny,12,0
2024-01-01,Butter Naan,Breads,81,65,Monday,0,0,Sunny,12,0
2024-01-01,Garlic Naan,Breads,91,67,Monday,0,0,Sunny,12,0
2024-01-01,Tandoori Roti,Breads,84,79,Monday,0,0,Sunny,12,0
2024-01-01,Gulab Jamun,Desserts,50,41,Monday,0,0,Sunny,12,0
2024-01-01,Ras Malai,Desserts,40,26,Monday,0,0,Sunny,12,0
2024-01-01,Kheer,Desserts,34,30,Monday,0,0,Sunny,12,0
2024-01-01,Kulfi,Desserts,35,25,Monday,0,0,Sunny,12,0
2024-01-02,Paneer Butter Masala,Main Course,44,40,Tuesday,0,0,Cloudy,11,0
2024-01-02,Dal Makhani,Main Course,62,52,Tuesday,0,0,Cloudy,11,0
2024-01-02,Chicken Biryani,Main Course,48,41,Tuesday,0,0,Cloudy,11,0
2024-01-02,Mutton Rogan Josh,Main Course,48,32,Tuesday,0,0,Cloudy,11,0
2024-01-02,Paneer Tikka,Starters,71,61,Tuesday,0,0,Cloudy,11,0
2024-01-02,Chicken Tandoori,Starters,52,44,Tuesday,0,0,Cloudy,11,0
2024-01-02,Veg Spring Rolls,Starters,61,56,Tuesday,0,0,Cloudy,11,0
2024-01-02,Fish Amritsari,Starters,66,44,Tuesday,0,0,Cloudy,11,0
2024-01-02,Butter Naan,Breads,99,91,Tuesday,0,0,Cloudy,11,0
2024-01-02,Garlic Naan,Breads,83,56,Tuesday,0,0,Cloudy,11,0
2024-01-02,Tandoori Roti,Breads,90,82,Tuesday,0,0,Cloudy,11,0
2024-01-02,Gulab Jamun,Desserts,44,40,Tuesday,0,0,Cloudy,11,0
2024-01-02,Ras Malai,Desserts,38,28,Tuesday,0,0,Cloudy,11,0
2024-01-02,Kheer,Desserts,36,28,Tuesday,0,0,Cloudy,11,0
2024-01-02,Kulfi,Desserts,33,18,Tuesday,0,0,Cloudy,11,0
2024-01-03,Paneer Butter Masala,Main Course,47,40,Wednesday,0,0,Sunny,9,0
2024-01-03,Dal Makhani,Main Course,58,46,Wednesday,0,0,Sunny,9,0
2024-01-03,Chicken Biryani,Main Course,54,44,Wednesday,0,0,Sunny,9,0
2024-01-03,Mutton Rogan Josh,Main Course,44,32,Wednesday,0,0,Sunny,9,0
2024-01-03,Paneer Tikka,Starters,63,52,Wednesday,0,0,Sunny,9,0
2024-01-03,Chicken Tandoori,Starters,53,47,Wednesday,0,0,Sunny,9,0
2024-01-03,Veg Spring Rolls,Starters,58,47,Wednesday,0,0,Sunny,9,0
2024-01-03,Fish Amritsari,Starters,63,43,Wednesday,0,0,Sunny,9,0
2024-01-03,Butter Naan,Breads,87,71,Wednesday,0,0,Sunny,9,0
2024-01-03,Garlic Naan,Breads,97,88,Wednesday,0,0,Sunny,9,0
2024-01-03,Tandoori Roti,Breads,99,80,Wednesday,0,0,Sunny,9,0
2024-01-03,Gulab Jamun,Desserts,41,37,Wednesday,0,0,Sunny,9,0
2024-01-03,Ras Malai,Desserts,41,30,Wednesday,0,0,Sunny,9,0
2024-01-03,Kheer,Desserts,39,34,Wednesday,0,0,Sunny,9,0
2024-01-03,Kulfi,Desserts,32,10,Wednesday,0,0,Sunny,9,0
2024-01-04,Paneer Butter Masala,Main Course,50,14,Thursday,0,0,Sunny,9,0
2024-01-04,Dal Makhani,Main Course,58,52,Thursday,0,0,Sunny,9,0
2024-01-04,Chicken Biryani,Main Course,44,37,Thursday,0,0,Sunny,9,0
2024-01-04,Mutton Rogan Josh,Main Course,45,31,Thursday,0,0,Sunny,9,0
2024-01-04,Paneer Tikka,Starters,67,53,Thursday,0,0,Sunny,9,0
2024-01-04,Chicken Tandoori,Starters,55,36,Thursday,0,0,Sunny,9,0
2024-01-04,Veg Spring Rolls,Starters,73,68,Thursday,0,0,Sunny,9,0
2024-01-04,Fish Amritsari,Starters,56,35,Thursday,0,0,Sunny,9,0
2024-01-04,Butter Naan,Breads,97,84,Thursday,0,0,Sunny,9,0
2024-01-04,Garlic Naan,Breads,81,66,Thursday,0,0,Sunny,9,0
2024-01-04,Tandoori Roti,Breads,93,63,Thursday,0,0,Sunny,9,0
2024-01-04,Gulab Jamun,Desserts,41,33,Thursday,0,0,Sunny,9,0
2024-01-04,Ras Malai,Desserts,45,38,Thursday,0,0,Sunny,9,0
2024-01-04,Kheer,Desserts,39,34,Thursday,0,0,Sunny,9,0
2024-01-04,Kulfi,Desserts,35,25,Thursday,0,0,Sunny,9,0
2024-01-05,Paneer Butter Masala,Main Course,44,38,Friday,0,0,Cloudy,11,0
2024-01-05,Dal Makhani,Main Course,51,48,Friday,0,0,Cloudy,11,0
2024-01-05,Chicken Biryani,Main Course,46,39,Friday,0,0,Cloudy,11,0
2024-01-05,Mutton Rogan Josh,Main Course,50,39,Friday,0,0,Cloudy,11,0
2024-01-05,Paneer Tikka,Starters,61,47,Friday,0,0,Cloudy,11,0
2024-01-05,Chicken Tandoori,Starters,53,49,Friday,0,0,Cloudy,11,0
2024-01-05,Veg Spring Rolls,Starters,64,49,Friday,0,0,Cloudy,11,0
2024-01-05,Fish Amritsari,Starters,58,36,Friday,0,0,Cloudy,11,0
2024-01-05,Butter Naan,Breads,98,82,Friday,0,0,Cloudy,11,0
2024-01-05,Garlic Naan,Breads,97,81,Friday,0,0,Cloudy,11,0
2024-01-05,Tandoori Roti,Breads,90,78,Friday,0,0,Cloudy,11,0
2024-01-05,Gulab Jamun,Desserts,42,28,Friday,0,0,Cloudy,11,0
2024-01-05,Ras Malai,Desserts,39,28,Friday,0,0,Cloudy,11,0
2024-01-05,Kheer,Desserts,32,28,Friday,0,0,Cloudy,11,0
2024-01-05,Kulfi,Desserts,35,18,Friday,0,0,Cloudy,11,0
2024-01-06,Paneer Butter Masala,Main Course,71,64,Saturday,1,0,Sunny,12,0
2024-01-06,Dal Makhani,Main Course,86,72,Saturday,1,0,Sunny,12,0
