date,item_name,category,leftover_qty,waste_kg,waste_cost_inr,day_of_week,is_weekend,is_holiday,weather,staff_count,event_flag
2024-01-01,Paneer Butter Masala,Main Course,7,2.05,656.0,Monday,0,0,Sunny,12,0
2024-01-01,Dal Makhani,Main Course,17,4.27,1366.4,Monday,0,0,Sunny,12,0
2024-01-01,Chicken Biryani,Main Course,11,3.41,1091.2,Monday,0,0,Sunny,12,0
2024-01-01,Mutton Rogan Josh,Main Course,24,6.89,2204.8,Monday,0,0,Sunny,12,0
2024-01-01,Paneer Tikka,Starters,4,0.58,145.0,Monday,0,0,Sunny,12,0
2024-01-01,Chicken Tandoori,Starters,15,2.52,630.0,Monday,0,0,Sunny,12,0
2024-01-01,Veg Spring Rolls,Starters,11,1.55,387.5,Monday,0,0,Sunny,12,0
2024-01-01,Fish Amritsari,Starters,52,8.65,2162.5,Monday,0,0,Sunny,12,0
2024-01-01,Butter Naan,Breads,16,1.0,120.0,Monday,0,0,Sunny,12,0
2024-01-01,Garlic Naan,Breads,24,1.66,199.2,Monday,0,0,Sunny,12,0
2024-01-01,Tandoori Roti,Breads,5,0.39,46.8,Monday,0,0,Sunny,12,0
2024-01-01,Gulab Jamun,Desserts,9,0.98,274.4,Monday,0,0,Sunny,12,0
2024-01-01,Ras Malai,Desserts,14,1.71,478.8,Monday,0,0,Sunny,12,0
2024-01-01,Kheer,Desserts,4,0.47,131.6,Monday,0,0,Sunny,12,0
2024-01-01,Kulfi,Desserts,10,1.49,417.2,Monday,0,0,Sunny,12,0
2024-01-02,Paneer Butter Masala,Main Course,4,1.23,393.6,Tuesday,0,0,Cloudy,11,0
2024-01-02,Dal Makhani,Main Course,10,3.34,1068.8,Tuesday,0,0,Cloudy,11,0
2024-01-02,Chicken Biryani,Main Course,7,2.2,704.0,Tuesday,0,0,Cloudy,11,0
2024-01-02,Mutton Rogan Josh,Main Course,16,5.55,1776.0,Tuesday,0,0,Cloudy,11,0
2024-01-02,Paneer Tikka,Starters,10,1.55,387.5,Tuesday,0,0,Cloudy,11,0
2024-01-02,Chicken Tandoori,Starters,8,1.33,332.5,Tuesday,0,0,Cloudy,11,0
2024-01-02,Veg Spring Rolls,Starters,5,0.87,217.5,Tuesday,0,0,Cloudy,11,0
